"UNION","mangrove_agb_Mg","mangrove_pa_agb_Mg","mangrove_pa_agb_percentage","mangrove_soc_t","mangrove_pa_soc_t","mangrove_pa_soc_percentage"
"Mexico",37214218.1383848,26794978.4806655,72.0019923058055,226455236.720301,172851069.016457,76.3290226889075
"Colombia",36300426.9578025,25978979.8036375,71.5665957148019,82683061.3049038,64068278.9319198,77.4865830084111
"Chile",0,0,NA,0,0,NA
"Papua New Guinea",108971758.651827,5354206.65769209,4.91338923399336,129446063.122133,4535649.8138664,3.50389166303728
"Alaska",0,0,NA,0,0,NA
"Tanzania",19739585.6095966,17694479.1078606,89.6395672017466,27478519.7738557,21793705.3844653,79.3117881305995
"Fiji",4537953.97917766,1340498.36928069,29.539708322992,14586645.2512256,5809880.0146944,39.8301317035612
"Indonesia",625732860.234399,179820672.702838,28.7376105892021,931564680.667769,231594719.760102,24.8608308758646
"Solomon Islands",9761574.05873073,1006192.26846531,10.3076846255689,16313853.4288205,1545439.14100308,9.47317044220136
"Ecuador",12943406.7053249,7555127.13935185,58.3704685432134,37114288.1636418,20513988.0172749,55.2724813872923
"Mozambique",22070068.0595379,13598118.8344893,61.613397828253,70441001.9827958,39266585.079933,55.7439331847144
"Peru",216614.687759395,74244.3762933261,34.2748578414927,1204900.59715432,425986.098369421,35.3544598928323
"Madagascar",40089320.2114152,3625290.67298427,9.04303354076827,68409365.8192691,13535215.7478888,19.7856179278837
